package_name	version	installation_command	package_manager	conda_channel	area	link	necessity	description	comment	language	bug_flag
lckr-jupyterlab-variableinspector		pip install lckr-jupyterlab-variableinspector	pip		dependency	https://github.com/lckr/jupyterlab-variableInspector	optional	Adds a variable inspector to jupyterlab	Optional addon for jupyterlab that adds a variable explorer. I couldn't install it on Windows. See issues from JohannesWiesner on GitHub (you can filter for my name in the repo on GitHub). But on Linux it works fine	R	windows
r-devtools		conda install -c conda-forge r-devtools	conda	conda-forge	development	https://anaconda.org/conda-forge/r-devtools	required	Installing R-packages from GitHub	This package is necessary to be able to install R-packages from GitHub (aka. that can not be installed using conda or CRAN). After installed you can run commands like devtools::install_github()	R	
RStudio		conda install -c r rstudio	conda	r	ide	https://www.rstudio.com/	required	An IDE for R	Currently not recommended to install R-studio in a conda environment because this will downgrade your R-version to 3.x.x. The current alternative is jupyter-lab. This should be checked regularily to see if a new update was released. Maybe in the future it wil become in a more recent version in conda-forge?	R	cross-platform
jupyterlab		conda install -c conda-forge jupyterlab	conda	conda-forge	ide	https://jupyter.org/	optional	An alternative IDE to RStudio, which might be faster and offers a more pythonic experience		R	
r-base	4.1	conda install -c conda-forge r-base	conda	conda-forge	language	https://anaconda.org/conda-forge/r-base	required	the R programming language itself		R	
r-pma		conda install -c conda-forge r-pma	conda	conda-forge	statistical modelling	https://anaconda.org/conda-forge/r-pma	optional	Package to conduct sparse canonical correlation analysis	Why do I added this? This is the same as install.packages('PMA') that can also be found in this spreadsheet? Choose either this package or install PMA package with CRAN, but not both. If you can succesfully use the gemmr package and if you can rerun Xia et al. script, then you don't have to use install.package('PMA'')	R	
PMA		install.packages('PMA')	cran		statistical modelling	https://cran.r-project.org/web/packages/PMA/index.html	optional		required for reproducing Xia et al. CCA analysis	R	
lme4		install.packages('lme4')	cran		statistical modelling	https://cran.r-project.org/web/packages/lme4/lme4.pdf	optional	Fitting mixed models in R	Note, that when using the python package  pymer4, you will already have lme4 installed, so this installation would become obsolete. You might also need to install stamod (https://community.rstudio.com/t/error-message-when-trying-to-install-lmer-package-and-load-lmer-library/85418)	R	
antropy		pip install antropy	pip		statistical modelling	https://github.com/raphaelvallat/antropy	required	AntroPy is a Python 3 package providing several time-efficient algorithms for computing the complexity of time-series.		python	
mne		conda install -c conda-forge mne	conda	conda-forge	statistical modelling	https://mne.tools/stable/index.html	optional	Python package for analyzing MEG/EEG data		python	
pyvis		pip install pyvis	pip		plotting	https://pyvis.readthedocs.io/en/latest/index.html	optional	Visualizing graphs/networks in an interactive fashion	This will automatically install networkx as a dependency	python	
pytorch		conda install -c pytorch pytorch	conda	pytorch	machine learning	https://anaconda.org/pytorch/pytorch	optional	Tensor library for deep learning using GPUs and CPUs		python	
tensorboardx		conda install -c conda-forge tensorboardx	conda	conda-forge	machine learning	https://anaconda.org/conda-forge/tensorboardx	optional	Allows researchers to use simple interface to log events within PyTorch		python	
distro		pip install distro	pip		system	https://pypi.org/project/distro/	optional	distro provides information about the OS distribution it runs on, such as a reliable machine-readable ID, or version information.	This package is useful to detect on which specific distro your current python script is running. For example you might want to run the script both on your personal machine and on the server. In this case paths might change and you want to have an option to automatically change paths by detecting the OS	python	
abagen		pip install abagen	pip		statistical modelling	https://abagen.readthedocs.io/en/stable/installation.html	optional	abagen lets you get information about gene receptor densities using the Allen Human Brain Atlas and a custom atlas of your choice		python	
neurokit2		conda install -c conda-forge neurokit2	conda	conda-forge	statistical modelling	https://github.com/neuropsychology/NeuroKit	optional	NeuroKit2 is a user-friendly package providing easy access to advanced biosignal processing routines	This package is specifically needed to compute multiscale sample entropy (there are also other packages though, that can do this or might include this in the future which are also smaller: https://github.com/nikdon/pyEntropy, https://github.com/ELIFE-ASU/PyInform)	python	
